"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0001","Nomada","sp.","male",1904,4,19,"England","Oxfordshire","Oxford","University Parks",2.688,1.908,9.018,2.328,"Apidae","kleptoparasite","OUMNH",1.781,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0002","Nomada","sp.","male",1918,5,2,"England","Oxfordshire","Oxford","",2.108,1.338,6.795,1.774,"Apidae","kleptoparasite","OUMNH",1.441,"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"IGproject0003","Nomada","sp.","female",1914,4,28,"England","Devon","Bovey Tracey","",2.054,1.329,6.457,1.743,"Apidae","kleptoparasite","OUMNH",1.367,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0004","Nomada","ruficornis","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.777,1.779,8.348,2.236,"Apidae","kleptoparasite","OUMNH",1.749,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147
"IGproject0005","Nomada","ruficornis","female",1980,6,NA,"England","Oxfordshire","","Bernwood Forest",2.652,1.789,7.628,2.105,"Apidae","kleptoparasite","OUMNH",1.661,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435
"IGproject0006","Nomada","ruficornis","male",1915,5,5,"England","Surrey","Tadworth","Box Hill",2.435,1.636,7.572,1.875,"Apidae","kleptoparasite","OUMNH",1.611,"Box Hill, Tadworth, Surrey, England",51.2543699,-0.2776725
"IGproject0007","Nomada","sp.","female",1912,4,24,"England","Oxfordshire","Oxford","",2.615,1.799,8.63,2.373,"Apidae","kleptoparasite","OUMNH",1.598,"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"IGproject0008","Nomada","sp.","female",1908,5,18,"England","Greater London","London","Tooting Commons",2.671,1.838,8.827,2.314,"Apidae","kleptoparasite","OUMNH",1.649,"Tooting Commons, London, Greater London, England",51.43400203,-0.144318326
"IGproject0009","Nomada","sp.","female",1922,5,14,"England","Devon","Newton Abbot","",2.269,1.287,7.438,2.018,"Apidae","kleptoparasite","OUMNH",1.47,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0010","Nomada","sp.","male",1924,6,5,"England","Devon","Bovey Tracey","",2.078,1.293,6.741,1.643,"Apidae","kleptoparasite","OUMNH",1.337,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0011","Nomada","sp.","female",1911,5,NA,"England","Oxfordshire","Oxford","University Parks",2.569,1.748,8.3,2.357,"Apidae","kleptoparasite","OUMNH",1.623,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0012","Nomada","ruficornis","female",1901,7,14,"Wales","Gwynedd","Criccieth","",2.717,1.895,8.34,2.321,"Apidae","kleptoparasite","OUMNH",1.722,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0013","Nomada","ruficornis","female",1919,4,NA,"England","West Yorkshire","Leeds","Roundhay Park",2.493,1.621,7.15,2.077,"Apidae","kleptoparasite","OUMNH",1.65,"Roundhay Park, Leeds, West Yorkshire, England",53.8393511,-1.4978422
"IGproject0014","Nomada","sp.","female",1915,5,31,"England","Devon","Newton Abbot","",2.371,1.533,7.442,2.231,"Apidae","kleptoparasite","OUMNH",1.489,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0015","Nomada","ruficornis","female",1925,5,15,"England","Devon","Brixham","",2.582,1.694,8.029,2.186,"Apidae","kleptoparasite","OUMNH",1.63,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0016","Nomada","ruficornis","female",1919,4,21,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.192,1.377,6.509,1.803,"Apidae","kleptoparasite","OUMNH",1.438,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059
"IGproject0017","Nomada","sp.","female",1921,4,27,"England","Devon","Newton Abbot","Bradley Woods",2.313,1.547,7.435,2.119,"Apidae","kleptoparasite","OUMNH",1.476,"Bradley Woods, Newton Abbot, Devon, England",50.525335,-3.627007989
"IGproject0018","Nomada","ruficornis","male",1907,5,19,"England","Oxfordshire","Tubney","",2.281,1.525,7.185,1.894,"Apidae","kleptoparasite","OUMNH",1.444,"Tubney, Oxfordshire, England",51.6852443,-1.3699399
"IGproject0019","Nomada","ruficornis","female",1981,5,20,"England","Oxfordshire","","Bernwood Forest",2.307,1.443,6.856,1.809,"Apidae","kleptoparasite","OUMNH",1.467,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435
"IGproject0020","Nomada","sp.","female",1908,5,17,"England","Greater London","London","Tooting Commons",2.729,1.939,8.693,2.375,"Apidae","kleptoparasite","OUMNH",1.725,"Tooting Commons, London, Greater London, England",51.43400203,-0.144318326
"IGproject0021","Andrena","wilkella","male",1959,5,23,"England","Devon","Chudleigh","",2.748,1.685,6.699,1.859,"Andrenidae","excavator","OUMNH",1.879,"Chudleigh, Devon, England",50.6156543,-3.5869448
"IGproject0022","Andrena","wilkella","female",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.466,2.246,8.5,2.523,"Andrenidae","excavator","OUMNH",2.145,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0023","Andrena","wilkella","female",1906,5,19,"Wales","Bridgend","Porthcawl","",3.419,2.254,8.12,2.776,"Andrenidae","excavator","OUMNH",2.174,"Porthcawl, Bridgend, Wales",51.4795563,-3.7040704
"IGproject0024","Andrena","wilkella","male",1898,NA,NA,"England","Kent","Doddington","",3.314,2.235,8.256,2.337,"Andrenidae","excavator","OUMNH",2.171,"Doddington, Kent, England",51.2792113,0.7717749
