"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0004","Nomada","ruficornis","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.777,1.779,8.348,2.236,"Apidae","kleptoparasite","OUMNH",1.749,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147,"Nomada ruficornis",10.8861728503237,2.00241851938988,12.3012583791799,17.8309641379801
"IGproject0005","Nomada","ruficornis","female",1980,6,NA,"England","Oxfordshire","","Bernwood Forest",2.652,1.789,7.628,2.105,"Apidae","kleptoparasite","OUMNH",1.661,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435,"Nomada ruficornis",10.6597091585526,3.08262371959949,13.9439846676238,18.4983749956471
"IGproject0006","Nomada","ruficornis","male",1915,5,5,"England","Surrey","Tadworth","Box Hill",2.435,1.636,7.572,1.875,"Apidae","kleptoparasite","OUMNH",1.611,"Box Hill, Tadworth, Surrey, England",51.2543699,-0.2776725,"Nomada ruficornis",11.9154526267,2.56784556331286,14.7394820346105,20.596061574449
"IGproject0012","Nomada","ruficornis","female",1901,7,14,"Wales","Gwynedd","Criccieth","",2.717,1.895,8.34,2.321,"Apidae","kleptoparasite","OUMNH",1.722,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414,"Nomada ruficornis",9.87794418567597,2.74634110433528,12.9618859065763,16.6824140180934
"IGproject0013","Nomada","ruficornis","female",1919,4,NA,"England","West Yorkshire","Leeds","Roundhay Park",2.493,1.621,7.15,2.077,"Apidae","kleptoparasite","OUMNH",1.65,"Roundhay Park, Leeds, West Yorkshire, England",53.8393511,-1.4978422,"Nomada ruficornis",10.3420233574613,3.4530357256541,12.4465360289044,17.6560458806408
"IGproject0015","Nomada","ruficornis","female",1925,5,15,"England","Devon","Brixham","",2.582,1.694,8.029,2.186,"Apidae","kleptoparasite","OUMNH",1.63,"Brixham, Devon, England",50.3952404,-3.514544,"Nomada ruficornis",11.0528232776594,3.03104384939004,14.0152021488619,17.7510218329343
"IGproject0016","Nomada","ruficornis","female",1919,4,21,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.192,1.377,6.509,1.803,"Apidae","kleptoparasite","OUMNH",1.438,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059,"Nomada ruficornis",11.1192923685198,3.09261755358956,13.402564888518,18.5614589985636
"IGproject0018","Nomada","ruficornis","male",1907,5,19,"England","Oxfordshire","Tubney","",2.281,1.525,7.185,1.894,"Apidae","kleptoparasite","OUMNH",1.444,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Nomada ruficornis",10.358508088944,3.39686774972162,13.7356273608234,19.5216189534757
"IGproject0019","Nomada","ruficornis","female",1981,5,20,"England","Oxfordshire","","Bernwood Forest",2.307,1.443,6.856,1.809,"Apidae","kleptoparasite","OUMNH",1.467,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435,"Nomada ruficornis",11.1092048944052,2.80800375666833,14.049954657607,18.7074824129319
"IGproject0021","Andrena","wilkella","male",1959,5,23,"England","Devon","Chudleigh","",2.748,1.685,6.699,1.859,"Andrenidae","excavator","OUMNH",1.879,"Chudleigh, Devon, England",50.6156543,-3.5869448,"Andrena wilkella",10.5740228947228,2.93863708151554,13.3478858473517,17.295680117351
"IGproject0022","Andrena","wilkella","female",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.466,2.246,8.5,2.523,"Andrenidae","excavator","OUMNH",2.145,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.0223924137269,3.79317000802107,15.2324001726487,21.5464029569547
"IGproject0023","Andrena","wilkella","female",1906,5,19,"Wales","Bridgend","Porthcawl","",3.419,2.254,8.12,2.776,"Andrenidae","excavator","OUMNH",2.174,"Porthcawl, Bridgend, Wales",51.4795563,-3.7040704,"Andrena wilkella",10.7734627767114,3.21567142910282,14.1637520834188,18.223681206989
"IGproject0024","Andrena","wilkella","male",1898,NA,NA,"England","Kent","Doddington","",3.314,2.235,8.256,2.337,"Andrenidae","excavator","OUMNH",2.171,"Doddington, Kent, England",51.2792113,0.7717749,"Andrena wilkella",11.085322633081,4.00852094227808,15.4612404362677,20.3210287389514
"IGproject0025","Andrena","wilkella","male",1955,4,13,"England","Devon","Bovey Tracey","Bovey Heathfield",2.725,1.772,6.594,1.793,"Andrenidae","excavator","OUMNH",1.89,"Bovey Heathfield, Bovey Tracey, Devon, England",50.5778633,-3.6644648,"Andrena wilkella",10.5363105577518,2.73552478987937,13.0968683057288,16.6927043983277
"IGproject0026","Andrena","wilkella","female",1935,6,18,"England","Warwickshie","Hatton","",3.409,2.276,7.964,2.718,"Andrenidae","excavator","OUMNH",2.142,"Hatton, Warwickshie, England",52.30064811,-1.646222116,"Andrena wilkella",11.2390756480835,3.66318538621876,14.9311628586522,20.5217507013445
"IGproject0027","Andrena","wilkella","female",1903,3,24,"England","Surrey","Woking","",3.421,2.389,7.71,2.374,"Andrenidae","excavator","OUMNH",2.17,"Woking, Surrey, England",51.3201891,-0.5564726,"Andrena wilkella",10.3262064727149,3.26488123457574,14.0233173049772,18.9013461405226
"IGproject0028","Andrena","wilkella","male",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.077,1.985,7.618,2.121,"Andrenidae","excavator","OUMNH",1.985,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.0223924137269,3.79317000802107,15.2324001726487,21.5464029569547
"IGproject0029","Andrena","wilkella","female",1905,5,24,"England","Oxfordshire","Oxford","University Parks",3.277,2.084,7.946,2.391,"Andrenidae","excavator","OUMNH",2.094,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",10.8809549214227,2.18455279644156,13.1463540458804,18.4727861474474
"IGproject0030","Andrena","wilkella","male",1954,6,18,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.898,1.903,7.268,2.056,"Andrenidae","excavator","OUMNH",1.965,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059,"Andrena wilkella",11.3310131629587,3.11198643390664,14.0238649068289,18.2958643394167
"IGproject0031","Andrena","wilkella","female",1900,7,8,"England","Oxfordshire","Tubney","",3.497,2.226,8.568,2.635,"Andrenidae","excavator","OUMNH",2.274,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Andrena wilkella",10.9939555452536,3.83122558901953,15.2438048310446,21.5126947814025
"IGproject0032","Andrena","wilkella","male",1902,5,25,"England","Kent","Faversham","Huntingfield",2.955,1.903,8.009,2.163,"Andrenidae","excavator","OUMNH",1.983,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Andrena wilkella",11.2194117530854,2.89384328805229,14.2158110729171,19.4942022336775
"IGproject0033","Andrena","wilkella","male",1977,7,2,"England","Oxfordshire","Oxford","Sydlings Copse",3.038,1.845,7.453,2.012,"Andrenidae","excavator","OUMNH",2.037,"Sydlings Copse, Oxford, Oxfordshire, England",51.78219916,-1.192042059,"Andrena wilkella",12.5286891227429,4.89016349688388,17.5521691434141,23.9304483877965
"IGproject0034","Andrena","wilkella","male",1949,5,7,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.833,1.936,7.427,2.03,"Andrenidae","excavator","OUMNH",1.919,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059,"Andrena wilkella",11.3673850866751,2.46444398050513,13.6652609560617,17.5034795361665
"IGproject0035","Andrena","wilkella","male",1990,5,26,"England","Wiltshire","Wroughton","Clouts Wood",3.313,1.965,7.984,2.175,"Andrenidae","excavator","OUMNH",2.248,"Clouts Wood, Wroughton, Wiltshire, England",51.51489206,-1.804044057,"Andrena wilkella",11.4911624146337,4.39875872794521,14.664167917127,20.3366862168796
"IGproject0036","Andrena","wilkella","male",1900,5,23,"England","Devon","Newton Abbot","",2.957,1.81,7.395,2.092,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Andrena wilkella",11.2312747631395,3.6898904238628,15.3264023478339,20.5876871421293
"IGproject0037","Andrena","wilkella","female",1905,7,31,"England","Kent","Faversham","Huntingfield",3.494,2.341,7.973,2.495,"Andrenidae","excavator","OUMNH",2.211,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Andrena wilkella",11.3561999537336,2.35082196074098,13.7301189074374,18.392924121186
"IGproject0038","Andrena","wilkella","female",1900,6,5,"England","Oxfordshire","Oxford","University Parks",3.524,2.291,8.27,2.576,"Andrenidae","excavator","OUMNH",2.241,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.0223924137269,3.79317000802107,15.2324001726487,21.5464029569547
"IGproject0039","Andrena","wilkella","female",1922,7,20,"England","Devon","Newton Abbot","",3.227,2.194,7.067,2.227,"Andrenidae","excavator","OUMNH",2,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Andrena wilkella",11.9752616489411,3.2600042978813,15.3582388864032,20.6497194800883
"IGproject0040","Andrena","wilkella","female",1900,5,24,"England","Oxfordshire","Oxford","University Parks",3.434,2.225,8.227,2.644,"Andrenidae","excavator","OUMNH",2.168,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132,"Andrena wilkella",11.0223924137269,3.79317000802107,15.2324001726487,21.5464029569547
"IGproject0041","Andrena","wilkella","female",1910,7,18,"England","Devon","Budleigh Salterton","",3.031,1.939,7.038,1.95,"Andrenidae","excavator","OUMNH",2.008,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844,"Andrena wilkella",10.9978212437901,1.73067208804214,12.6933562465752,16.7750681628536
"IGproject0042","Andrena","wilkella","male",1904,5,29,"England","Greater London","London","Wimbledon",2.937,1.879,7.288,2.05,"Andrenidae","excavator","OUMNH",1.969,"Wimbledon, London, Greater London, England",51.4214787,-0.2064027,"Andrena wilkella",10.4822120102316,3.38176063652242,13.0600055723104,17.8416579648037
"IGproject0043","Andrena","wilkella","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.529,2.268,8.264,2.656,"Andrenidae","excavator","OUMNH",2.251,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644,"Andrena wilkella",11.9047793225422,4.71275853344275,16.7958609423149,23.1969160207424
"IGproject0044","Andrena","wilkella","male",1915,4,20,"England","Gloucestershire","Wotton-under-Edge","",2.849,1.745,7.235,1.837,"Andrenidae","excavator","OUMNH",1.943,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251,"Andrena wilkella",11.9630390491139,2.57203285281756,14.8611099175124,20.2101649571598
"IGproject0045","Andrena","wilkella","female",1903,6,26,"England","Surrey","Chobham","",3.261,2.127,7.532,2.403,"Andrenidae","excavator","OUMNH",2.086,"Chobham, Surrey, England",51.3477705,-0.6010128,"Andrena wilkella",10.3249036357329,3.26937455604266,14.0264626144714,18.8968106577104
"IGproject0046","Hylaeus","communis","female",1904,7,NA,"England","Dorset","Lyme Regis","",1.642,1.318,5.086,1.049,"Colletidae","cavity nester","OUMNH",1.091,"Lyme Regis, Dorset, England",50.7252897,-2.934559,"Hylaeus communis",14.2441211867508,1.26279249642224,15.3581638166614,20.0051358635326
"IGproject0047","Hylaeus","communis","female",1979,7,12,"England","Devon","Newton Abbot","Teign Valley",1.671,1.24,4.948,1.037,"Colletidae","cavity nester","OUMNH",1.101,"Teign Valley, Newton Abbot, Devon, England",50.61515132,-3.623629783,"Hylaeus communis",14.3265683904918,0.734718982081698,14.9500498563436,19.1172816520098
"IGproject0048","Hylaeus","communis","female",1948,7,26,"England","Oxfordshire","Coleshill","",1.581,1.191,4.648,0.987,"Colletidae","cavity nester","OUMNH",1.038,"Coleshill, Oxfordshire, England",51.6427615,-1.659708,"Hylaeus communis",17.0665942755978,1.70856270075756,18.7848237793455,25.5470990566121
"IGproject0049","Hylaeus","communis","male",1905,7,8,"England","Dorset","Lyme Regis","",1.504,1.152,4.342,0.939,"Colletidae","cavity nester","OUMNH",0.953,"Lyme Regis, Dorset, England",50.7252897,-2.934559,"Hylaeus communis",15.1568190997891,1.70310785499216,16.8189131056436,21.4640346214003
"IGproject0050","Hylaeus","communis","male",1978,6,16,"England","Devon","Diptford","",1.437,1.073,4.011,0.897,"Colletidae","cavity nester","OUMNH",0.968,"Diptford, Devon, England",50.3840452,-3.7629722,"Hylaeus communis",14.4586704300015,1.95567863134041,15.9231897645785,19.8370083677507
"IGproject0051","Hylaeus","communis","male",1980,6,24,"England","Devon","Milton Combe","",1.567,1.244,4.406,0.988,"Colletidae","cavity nester","OUMNH",1.02,"Milton Combe, Devon, England",50.4745875,-4.131055,"Hylaeus communis",14.2138018450674,1.38010608492735,15.5791907252355,19.8009478350864
"IGproject0052","Hylaeus","communis","female",1902,9,6,"England","Kent","Faversham","Huntingfield",1.499,1.138,4.476,0.941,"Colletidae","cavity nester","OUMNH",0.996,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Hylaeus communis",16.1774827653116,1.7221298340726,17.4404786615628,23.0645475654834
"IGproject0053","Hylaeus","communis","male",1902,8,12,"England","Kent","Faversham","Huntingfield",1.592,1.144,4.608,0.986,"Colletidae","cavity nester","OUMNH",1.011,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012,"Hylaeus communis",16.1774827653116,1.7221298340726,17.4404786615628,23.0645475654834
"IGproject0054","Hylaeus","communis","female",1968,7,18,"England","Hertfordshire","Harpenden","Hatching Green",1.657,1.248,4.919,0.993,"Colletidae","cavity nester","OUMNH",1.085,"Hatching Green, Harpenden, Hertfordshire, England",51.8034314,-0.3580286,"Hylaeus communis",15.6716461947874,1.74531670698786,17.3073325321605,22.4005398593622
"IGproject0055","Hylaeus","communis","male",2005,7,19,"England","Surrey","Richmond","Ham House",1.49,1.154,4.241,0.92,"Colletidae","cavity nester","OUMNH",0.95,"Ham House, Richmond, Surrey, England",51.44419259,-0.313872304,"Hylaeus communis",17.4869991418382,1.20238039125254,18.8052011574295,23.4275548000658
"IGproject0056","Hylaeus","communis","male",1949,6,7,"England","Devon","Axminster","",1.538,1.126,4.444,0.963,"Colletidae","cavity nester","OUMNH",0.981,"Axminster, Devon, England",50.7820966,-2.9979915,"Hylaeus communis",14.8974095859723,0.740843111600995,15.545345852579,20.0444475050494
"IGproject0057","Hylaeus","communis","female",1897,7,11,"England","Berkshire","Reading","Sulhamstead Park",1.737,1.309,5.222,1.008,"Colletidae","cavity nester","OUMNH",1.112,"Sulhamstead Park, Reading, Berkshire, England",51.41681285,-1.09530783,"Hylaeus communis",15.8106859685235,1.16404901091015,16.8152283631874,22.858915645173
"IGproject0058","Nomada","goodeniana","female",1990,7,18,"England","Devon","Salcombe Regis","",3.032,2.048,9.062,2.414,"Apidae","kleptoparasite","OUMNH",1.997,"Salcombe Regis, Devon, England",50.6935703,-3.2066743,"Nomada goodeniana",11.5536327996962,4.38378955030878,14.5468228203633,19.5243441244641
"IGproject0059","Nomada","goodeniana","female",1903,5,18,"Wales","Gwynedd","Criccieth","",3.222,2.284,9.782,2.835,"Apidae","kleptoparasite","OUMNH",2.103,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414,"Nomada goodeniana",9.1335562710576,3.14939484821545,12.7034640483659,16.6106919695149
"IGproject0060","Nomada","goodeniana","male",1916,4,22,"England","Oxfordshire","Tubney","",2.843,1.916,8.883,2.403,"Apidae","kleptoparasite","OUMNH",1.905,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Nomada goodeniana",10.9532852481764,3.47015810862873,14.3485357026408,20.4079070884106
"IGproject0061","Nomada","goodeniana","male",1896,NA,NA,"England","Kent","Doddington","",3.029,1.985,9.415,2.566,"Apidae","kleptoparasite","OUMNH",2.055,"Doddington, Kent, England",51.2792113,0.7717749,"Nomada goodeniana",11.2332955283324,3.24491934989487,14.4184371464713,19.6913942830095
"IGproject0062","Nomada","goodeniana","male",1917,5,3,"England","Devon","Brixham","",2.314,1.534,7.09,1.983,"Apidae","kleptoparasite","OUMNH",1.635,"Brixham, Devon, England",50.3952404,-3.514544,"Nomada goodeniana",10.6892345408197,1.74379555004273,11.8674348841717,15.9676672197704
"IGproject0063","Nomada","goodeniana","female",1910,6,1,"England","Devon","Littleham","",3.257,2.219,10.096,2.832,"Apidae","kleptoparasite","OUMNH",2.183,"Littleham, Devon, England",50.9930461,-4.2236852,"Nomada goodeniana",10.6456618775868,1.61029380967903,12.0464120343471,15.8742819176471
"IGproject0064","Nomada","goodeniana","female",1928,4,21,"England","Devon","Newton Abbot","",3.185,2.372,9.971,2.638,"Apidae","kleptoparasite","OUMNH",2.151,"Newton Abbot, Devon, England",50.5296441,-3.6112097,"Nomada goodeniana",11.3935365886955,2.47771375237421,13.1754472990331,17.3649350352075
"IGproject0065","Nomada","goodeniana","female",1991,4,26,"England","Devon","Croyde","",3.347,2.367,10.436,2.807,"Apidae","kleptoparasite","OUMNH",2.208,"Croyde, Devon, England",51.1303398,-4.2215393,"Nomada goodeniana",10.6926454124302,2.98422097599359,12.4474630887723,17.3099616837055
"IGproject0066","Nomada","goodeniana","male",1949,4,18,"England","Oxfordshire","Chastleton","",2.36,1.486,7.029,1.959,"Apidae","kleptoparasite","OUMNH",1.666,"Chastleton, Oxfordshire, England",51.9599665,-1.6409204,"Nomada goodeniana",10.8404976798613,2.33430414533773,13.1688573315139,17.5614931827509
"IGproject0067","Nomada","goodeniana","female",1937,5,28,"England","Greater London","London","Wimbledon",3.011,2.124,9.116,2.515,"Apidae","kleptoparasite","OUMNH",1.958,"Wimbledon, London, Greater London, England",51.4214787,-0.2064027,"Nomada goodeniana",11.5360527179648,4.55126937864574,15.7370740791601,20.4870993215106
"IGproject0068","Nomada","goodeniana","female",1954,4,16,"England","Devon","Torquay","",3.168,2.243,9.924,2.765,"Apidae","kleptoparasite","OUMNH",2.086,"Torquay, Devon, England",50.4652392,-3.5211361,"Nomada goodeniana",11.6580356135701,3.11017195185164,14.3729763575452,18.484349437936
"IGproject0069","Nomada","goodeniana","male",1954,4,29,"England","Devon","Lustleigh","",2.715,1.755,8.14,2.184,"Apidae","kleptoparasite","OUMNH",1.857,"Lustleigh, Devon, England",50.6228301,-3.7304463,"Nomada goodeniana",11.0067745262881,3.10527327624903,13.6708224958465,17.9162520377593
