"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0004","Nomada","ruficornis","female",1917,5,3,"England","Surrey","Guildford","Merrow",2.777,1.779,8.348,2.236,"Apidae","kleptoparasite","OUMNH",1.749,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147,"Nomada ruficornis",10.9509990125962,2.03571066177661,12.3735820343848,17.9438471039161
"IGproject0005","Nomada","ruficornis","female",1980,6,NA,"England","Oxfordshire","","Bernwood Forest",2.652,1.789,7.628,2.105,"Apidae","kleptoparasite","OUMNH",1.661,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435,"Nomada ruficornis",10.6256569270031,3.0752602335123,13.9011914023366,18.4625966068037
"IGproject0006","Nomada","ruficornis","male",1915,5,5,"England","Surrey","Tadworth","Box Hill",2.435,1.636,7.572,1.875,"Apidae","kleptoparasite","OUMNH",1.611,"Box Hill, Tadworth, Surrey, England",51.2543699,-0.2776725,"Nomada ruficornis",11.1795264352502,2.51665748284203,13.9588897289085,20.1830666268547
"IGproject0012","Nomada","ruficornis","female",1901,7,14,"Wales","Gwynedd","Criccieth","",2.717,1.895,8.34,2.321,"Apidae","kleptoparasite","OUMNH",1.722,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414,"Nomada ruficornis",10.7490385337802,2.737999288977,13.804707195817,17.500301620291
"IGproject0013","Nomada","ruficornis","female",1919,4,NA,"England","West Yorkshire","Leeds","Roundhay Park",2.493,1.621,7.15,2.077,"Apidae","kleptoparasite","OUMNH",1.65,"Roundhay Park, Leeds, West Yorkshire, England",53.8393511,-1.4978422,"Nomada ruficornis",10.4428742550071,3.46101393071698,12.5576276277826,17.7097600171741
"IGproject0015","Nomada","ruficornis","female",1925,5,15,"England","Devon","Brixham","",2.582,1.694,8.029,2.186,"Apidae","kleptoparasite","OUMNH",1.63,"Brixham, Devon, England",50.3952404,-3.514544,"Nomada ruficornis",11.17903138926,2.96221283254272,14.0499297305049,17.0439967049037
"IGproject0016","Nomada","ruficornis","female",1919,4,21,"England","Devon","Bovey Tracey","Chudleigh Knighton Heath",2.192,1.377,6.509,1.803,"Apidae","kleptoparasite","OUMNH",1.438,"Chudleigh Knighton Heath, Bovey Tracey, Devon, England",50.58100978,-3.64619059,"Nomada ruficornis",11.8131025053204,3.10110705378373,14.0899909956068,19.3848211473516
"IGproject0018","Nomada","ruficornis","male",1907,5,19,"England","Oxfordshire","Tubney","",2.281,1.525,7.185,1.894,"Apidae","kleptoparasite","OUMNH",1.444,"Tubney, Oxfordshire, England",51.6852443,-1.3699399,"Nomada ruficornis",10.804739367237,3.40799725915314,14.2075788047005,19.9939609606644
"IGproject0019","Nomada","ruficornis","female",1981,5,20,"England","Oxfordshire","","Bernwood Forest",2.307,1.443,6.856,1.809,"Apidae","kleptoparasite","OUMNH",1.467,"Bernwood Forest, Oxfordshire, England",51.80063858,-1.114713435,"Nomada ruficornis",11.0723185223452,2.79701159533549,14.0027092141156,18.6664274969379
"IGproject0021","Andrena","wilkella","male",1959,5,23,"England","Devon","Chudleigh","",2.748,1.685,6.699,1.859,"Andrenidae","excavator","OUMNH",1.879,"Chudleigh, Devon, England",50.6156543,-3.5869448,"Andrena wilkella",10.5366217510856,2.93598822451492,13.206244458079,17.290900445315
