label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0001,Nomada,sp.,male,1904,4,19,England,Oxfordshire,Oxford,University Parks,2.688,1.908,9.018,2.328,Apidae,kleptoparasite,1.781
IGproject0002,Nomada,sp.,male,1918,5,2,England,Oxfordshire,Oxford,,2.108,1.338,6.795,1.774,Apidae,kleptoparasite,1.441
IGproject0003,Nomada,sp.,female,1914,4,28,England,Devon,Bovey Tracey,,2.054,1.329,6.457,1.743,Apidae,kleptoparasite,1.367
IGproject0004,Nomada,ruficornis,female,1917,5,3,England,Surrey,Guildford,Merrow,2.777,1.779,8.348,2.236,Apidae,kleptoparasite,1.749
IGproject0005,Nomada,ruficornis,female,1980,6,,England,Oxfordshire,,Bernwood Forest,2.652,1.789,7.628,2.105,Apidae,kleptoparasite,1.661
IGproject0006,Nomada,ruficornis,male,1915,5,5,England,Surrey,Tadworth,Box Hill,2.435,1.636,7.572,1.875,Apidae,kleptoparasite,1.611
IGproject0007,Nomada,sp.,female,1912,4,24,England,Oxfordshire,Oxford,,2.615,1.799,8.63,2.373,Apidae,kleptoparasite,1.598
IGproject0008,Nomada,sp.,female,1908,5,18,England,Greater London,London,Tooting Commons,2.671,1.838,8.827,2.314,Apidae,kleptoparasite,1.649
IGproject0009,Nomada,sp.,female,1922,5,14,England,Devon,Newton Abbot,,2.269,1.287,7.438,2.018,Apidae,kleptoparasite,1.47
IGproject0010,Nomada,sp.,male,1924,6,5,England,Devon,Bovey Tracey,,2.078,1.293,6.741,1.643,Apidae,kleptoparasite,1.337
IGproject0011,Nomada,sp.,female,1911,5,,England,Oxfordshire,Oxford,University Parks,2.569,1.748,8.3,2.357,Apidae,kleptoparasite,1.623
IGproject0012,Nomada,ruficornis,female,1901,7,14,Wales,Gwynedd,Criccieth,,2.717,1.895,8.34,2.321,Apidae,kleptoparasite,1.722
IGproject0013,Nomada,ruficornis,female,1919,4,,England,West Yorkshire,Leeds,Roundhay Park,2.493,1.621,7.15,2.077,Apidae,kleptoparasite,1.65
IGproject0014,Nomada,sp.,female,1915,5,31,England,Devon,Newton Abbot,,2.371,1.533,7.442,2.231,Apidae,kleptoparasite,1.489
IGproject0015,Nomada,ruficornis,female,1925,5,15,England,Devon,Brixham,,2.582,1.694,8.029,2.186,Apidae,kleptoparasite,1.63
IGproject0016,Nomada,ruficornis,female,1919,4,21,England,Devon,Bovey Tracey,Chudleigh Knighton Heath,2.192,1.377,6.509,1.803,Apidae,kleptoparasite,1.438
IGproject0017,Nomada,sp.,female,1921,4,27,England,Devon,Newton Abbot,Bradley Woods,2.313,1.547,7.435,2.119,Apidae,kleptoparasite,1.476
IGproject0018,Nomada,ruficornis,male,1907,5,19,England,Oxfordshire,Tubney,,2.281,1.525,7.185,1.894,Apidae,kleptoparasite,1.444
IGproject0019,Nomada,ruficornis,female,1981,5,20,England,Oxfordshire,,Bernwood Forest,2.307,1.443,6.856,1.809,Apidae,kleptoparasite,1.467
IGproject0020,Nomada,sp.,female,1908,5,17,England,Greater London,London,Tooting Commons,2.729,1.939,8.693,2.375,Apidae,kleptoparasite,1.725
IGproject0021,Andrena,wilkella,male,1959,5,23,England,Devon,Chudleigh,,2.748,1.685,6.699,1.859,Andrenidae,excavator,1.879
IGproject0022,Andrena,wilkella,female,1900,6,5,England,Oxfordshire,Oxford,University Parks,3.466,2.246,8.5,2.523,Andrenidae,excavator,2.145
IGproject0023,Andrena,wilkella,female,1906,5,19,Wales,Bridgend,Porthcawl,,3.419,2.254,8.12,2.776,Andrenidae,excavator,2.174
IGproject0024,Andrena,wilkella,male,1898,,,England,Gloucestershire,Doddington,,3.314,2.235,8.256,2.337,Andrenidae,excavator,2.171
IGproject0025,Andrena,wilkella,male,1955,4,13,England,Devon,Bovey Tracey,Bovey Heathfield,2.725,1.772,6.594,1.793,Andrenidae,excavator,1.89
IGproject0026,Andrena,wilkella,female,1935,6,18,England,Warwickshie,Hatton,,3.409,2.276,7.964,2.718,Andrenidae,excavator,2.142
IGproject0027,Andrena,wilkella,female,1903,3,24,England,Surrey,Woking,,3.421,2.389,7.71,2.374,Andrenidae,excavator,2.17
IGproject0028,Andrena,wilkella,male,1900,6,5,England,Oxfordshire,Oxford,University Parks,3.077,1.985,7.618,2.121,Andrenidae,excavator,1.985
IGproject0029,Andrena,wilkella,female,1905,5,24,England,Oxfordshire,Oxford,University Parks,3.277,2.084,7.946,2.391,Andrenidae,excavator,2.094
IGproject0030,Andrena,wilkella,male,1954,6,18,England,Devon,Bovey Tracey,Chudleigh Knighton Heath,2.898,1.903,7.268,2.056,Andrenidae,excavator,1.965
IGproject0031,Andrena,wilkella,female,1900,7,8,England,Oxfordshire,Tubney,,3.497,2.226,8.568,2.635,Andrenidae,excavator,2.274
IGproject0032,Andrena,wilkella,male,1902,5,25,England,Kent,Faversham,Huntingfield,2.955,1.903,8.009,2.163,Andrenidae,excavator,1.983
IGproject0033,Andrena,wilkella,male,1977,7,2,England,Oxfordshire,Oxford,Sydlings Copse,3.038,1.845,7.453,2.012,Andrenidae,excavator,2.037
