location_string,latitude,longitude
"Lizard, Cornwall, England",50.02964889,-5.195961501
"The Lizard, Cornwall, England",50.02964889,-5.195961501
"Coverack, Cornwall, England",50.0224895,-5.0971985
"Goonhilly Downs, Lizard, Cornwall, England",50.05001835,-5.200067979
"St Anthony, Cornwall, England",50.0834774,-5.3107622
"Prawle Point, Devon, England",50.29001117,-3.719882932
"Camborne, Cornwall, England",50.2138828,-5.2990347
"Coast Path, Salcombe, Devon, England",50.2375257,-3.769493274
"Old Inn Cottage, Saint Austell, Cornwall, England",50.29371098,-4.780971796
"Goonvrea, Cornwall, England",50.3027624,-5.2177565
"Bigbury, Devon, England",50.3042614,-3.8750478
"Rame, Cornwall, England",50.3223827,-4.2122729
"Wembury, Devon, England",50.3287157,-4.0840935
"Polkerris, Cornwall, England",50.3381927,-4.6810647
"Coleton Fishacre, Dartmouth, Devon, England",50.3470983,-3.5343188
"Dartmouth, Devon, England",50.3514839,-3.583844
"Looe, Cornwall, England",50.3522702,-4.454196
"West Looe, Looe, Cornwall, England",50.3531094,-4.4583049
"St Blazey, Cornwall, England",50.3630055,-4.7156518
"Plymouth Hoe, Plymouth, Devon, England",50.36584396,-4.142166636
"Diptford, Devon, England",50.3840452,-3.7629722
"Holywell Beach, Cornwall, England",50.3935678,-5.1460548
"Churston Ferrers, Brixham, Devon, England",50.3945707,-3.565572
"Brixham, Devon, England",50.3952404,-3.514544
"Plym Bridge, Plymouth, Devon, England",50.40595042,-4.077171658
"Elfordleigh, Plymouth, Devon, England",50.4069908,-4.0491626
"Boconnoc, Cornwall, England",50.4076376,-4.597743
"Newquay, Cornwall, England",50.4134414,-5.0848836
"Harford, Devon, England",50.4188928,-3.9179257
"Plymouth, Devon, England",50.4323453,-3.7065512
"Paignton, Devon, England",50.4377018,-3.5632704
"South Brent, Devon, England",50.4427744,-3.847493
"Shipley Bridge, South Brent, Devon, England",50.4508303,-3.8593753
"Shaugh Bridge, Plymouth, Devon, England",50.45393915,-4.067759274
